付,付,付,1,AAA,フ,"つ·ける, 〜つ·ける, 〜づ·ける, つ·け, つ·け〜, 〜つ·け, 〜づ·け, 〜づけ, つ·く, 〜づ·く, つ·き, 〜つ·き, 〜つき, 〜づ·き, 〜づき",つけ,"adhere, attach, refer to, append","受付 (うけつけ): reception (desk), information desk<br>片付ける (かたづける): to tidy up, to put in order, to straighten up, to put away<br>寄付 (きふ): contribution, donation<br>付き合い (つきあい): association, socializing, socialising, fellowship<br>日付 (ひづけ): date, dating",4,322
仙,仙,仙,1,AAA,"セン, セント",,"そま, のり","hermit, wizard, cent",,8,1157
代,代,代,1,AAA,"ダイ, タイ","か·わる, かわ·る, かわ·り, か·わり, 〜がわ·り, 〜が·わり, か·える, よ, しろ",す,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee","時代 (じだい): period, epoch, era, age<br>代わり (かわり): substitute, replacement, substituting, replacing<br>代表 (だいひょう): representative, representation, delegation, type, example, model<br>現代 (げんだい): nowadays, modern era, modern times, present-day<br>近代 (きんだい): present day, modern times, recent times",3,66
令,令,令,1,AAA,レイ,,"のり, りょう, れ","orders, laws, command, decree, good","命令 (めいれい): order, command, decree, directive<br>指令 (しれい): orders, instructions, directive, command",4,804
以,以,以,1,AAA,イ,もっ·て,もち,"by means of, because, in view of, compared with","以内 (いない): within, inside of, less than<br>以下 (いか): not exceeding, and downward, ... and below<br>以上 (いじょう): not less than, ... and more, ... and upwards<br>以外 (いがい): with the exception of, excepting<br>以来 (いらい): since, henceforth",4,126
仮,假,假,4,ABB,"カ, ケ","かり, かり〜",,"sham, temporary, interim, assumed (name), informal","片仮名 (かたかな): katakana, angular Japanese syllabary used primarily for loanwords<br>平仮名 (ひらがな): hiragana, cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.)<br>仮定 (かてい): assumption, supposition, hypothesis<br>仮に (かりに): supposing, even if, granting that, for argument's sake",5,1039
仰,仰,仰,1,AAA,"ギョウ, コウ","あお·ぐ, おお·せ, お·っしゃる, おっしゃ·る",,"face-up, look up, depend, seek, respect, rever, drink, take","信仰 (しんこう): (religious) faith, belief, creed<br>仰ぐ (あおぐ): to look up (at)",8,1573
仲,仲,仲,1,AAA,チュウ,なか,"ちゅん, つづき, なかつ","go-between, relationship","仲間 (なかま): company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner<br>仲 (なか): relation, relationship<br>仲良し (なかよし): intimate friend, close friend, bosom buddy, chum<br>仲人 (なこうど): matchmaker",4,919
件,件,件,1,AAA,ケン,くだん,,"affair, case, matter, item","事件 (じけん): event, affair, incident, case, plot, trouble, scandal<br>条件 (じょうけん): condition, term, requirement, qualification, prerequisite<br>件 (けん): matter, case, item, affair, subject<br>用件 (ようけん): business, thing to be done, something that should be performed, information that should be conveyed",5,212
任,任,任,1,AAA,ニン,"まか·せる, まか·す","さ, とう, ひで","responsibility, duty, term, entrust to, appoint","責任 (せきにん): duty, responsibility (incl. supervision of staff)<br>就任 (しゅうにん): assumption (of office), taking up (a post), inauguration, installation<br>主任 (しゅにん): person in charge, senior staff, manager, chief, head<br>任務 (にんむ): duty, function, office, mission, task<br>信任 (しんにん): trust, confidence, credence",5,217
企,企,企,1,AAA,キ,"くわだ·てる, たくら·む",,"undertake, scheme, design, attempt, plan","企業 (きぎょう): enterprise, business, company, corporation<br>企画 (きかく): planning, project, plan, design",8,278
伏,伏,伏,1,AAA,フク,"ふ·せる, ふ·す","ふし, ふせ","prostrated, bend down, bow, cover, lay (pipes)","降伏 (こうふく): capitulation, surrender, submission<br>起伏 (きふく): undulation",8,1604
伐,伐,伐,1,AAA,"バツ, ハツ, カ, ボチ","き·る, そむ·く, う·つ",,"fell, strike, attack, punish",,8,1816
休,休,休,1,AAA,キュウ,"やす·む, やす·まる, やす·める",,"rest, day off, retire, sleep","休み (やすみ): rest, recess, respite<br>夏休み (なつやすみ): summer vacation, summer holiday<br>休む (やすむ): to be absent, to take a day off<br>昼休み (ひるやすみ): lunch break, noon recess, noon rest period<br>休暇 (きゅうか): holiday, day off, furlough, absence (from work)",1,642
会,會,会,3,ABA,"カイ, エ","あ·う, あ·わせる, あつ·まる","あい, い","meeting, meet, party, association, interview, join","会社 (かいしゃ): company, corporation<br>会う (あう): to meet, to encounter, to see<br>会議 (かいぎ): meeting, conference, session, assembly, council, convention, congress<br>社会 (しゃかい): society, public, community, the world<br>会場 (かいじょう): assembly hall, meeting place, venue, grounds",2,4
伝,傳,传,5,ABC,"デン, テン","つた·わる, つた·える, つた·う, つだ·う, 〜づた·い, つて",つたえ,"transmit, go along, walk along, follow, report, communicate, legend, tradition","手伝う (てつだう): to help, to assist, to aid<br>伝統 (でんとう): tradition, convention<br>手伝い (てつだい): helper, assistant<br>宣伝 (せんでん): publicity, advertisement, advertising, propaganda<br>伝記 (でんき): biography, life story",4,416
伯,伯,伯,1,AAA,ハク,,"いき, えき, か, き, は, ひろ","chief, count, earl, uncle, Brazil",伯父 (おじ): uncle<br>叔母 (おば): aunt,8,1741
伴,伴,伴,1,AAA,"ハン, バン",ともな·う,とも,"consort, accompany, bring with, companion","供 (とも): companion, follower, attendant, retinue<br>伴う (ともなう): to accompany, to go hand in hand with, to be consequent upon",8,886
伸,伸,伸,1,AAA,シン,"の·びる, の·ばす, の·べる, の·す","のぶ, よぼる","expand, stretch, extend, lengthen, increase","伸ばす (のばす): to grow long (e.g. hair, nails)",8,730
伺,伺,伺,1,AAA,シ,うかが·う,,"pay respects, visit, ask, inquire, question, implore","伺う (うかがう): to ask, to inquire, to hear, to be told",8,2209
似,似,似,1,AAA,ジ,"に·る, ひ·る",にた,"becoming, resemble, counterfeit, imitate, suitable","似る (にる): to resemble, to look like, to take after<br>似合う (にあう): to suit, to match, to become, to be like<br>真似 (まね): imitating, copying, mimicry<br>類似 (るいじ): resemblance, similarity, likeness, analogy<br>似通う (にかよう): to resemble closely",5,923
但,但,但,1,AAA,タン,ただ·し,たじ,"however, but",,8,2404
位,位,位,1,AAA,イ,"くらい, ぐらい",ぞき,"rank, grade, throne, crown, about, some","単位 (たんい): unit, denomination<br>地位 (ちい): (social) position, status<br>位置 (いち): place, situation, position, location<br>上位 (じょうい): superior (in rank), top, ranking<br>優位 (ゆうい): predominance, superiority, ascendancy, advantage, supremacy",4,276
低,低,低,1,AAA,テイ,"ひく·い, ひく·める, ひく·まる",,"lower, short, humble","低い (ひくい): low (rank, degree, value, content, quality, etc.)<br>最低 (さいてい): least, lowest, minimum<br>低下 (ていか): fall, decline, lowering, deterioration, degradation",4,435
住,住,住,1,AAA,"ジュウ, ヂュウ, チュウ","す·む, す·まう, 〜ず·まい","し, じゅ, すみ","dwell, reside, live, inhabit","住む (すむ): to live (of humans), to reside, to inhabit, to dwell, to abide<br>住所 (じゅうしょ): address (e.g. of house), residence, domicile<br>住宅 (じゅうたく): residence, housing, residential building<br>住民 (じゅうみん): inhabitant, resident, citizen, population<br>衣食住 (いしょくじゅう): necessities of life (food, clothing and shelter)",3,270
佐,佐,佐,1,AAA,サ,,すけ,"assistant, help",,4,474
体,體,体,3,ABA,"タイ, テイ","からだ, かたち",なり,"body, substance, object, reality, counter for images","体 (からだ): body<br>大体 (だいたい): outline, main points, gist, substance, essence<br>全体 (ぜんたい): whole, entirety, whatever (is the matter)<br>団体 (だんたい): organization, organisation, association<br>具体 (ぐたい): concrete, tangible, material",2,88
何,何,何,1,AAA,カ,"なに, なん, なに〜, なん〜",あが,what,"何 (なに): what<br>何の (どの): which, what (way)<br>何時 (いつ): when, at what time, how soon<br>何故 (なぜ): why, how<br>何処 (どこ): where, what place",2,340
余,余,余,1,AAA,ヨ,"あま·る, あま·り, あま·す, あんま·り",あまる,"too much, myself, surplus, other, remainder","余り (あまり): remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers<br>余裕 (よゆう): surplus, margin, leeway, room, space, time, allowance, flexibility, scope<br>余分 (よぶん): extra, excess, surplus<br>余計 (よけい): too many, too much, excessive, superfluous, superabundant, extra, spare, surplus<br>余る (あまる): to remain, to be left over, to be in excess, to be too many",5,680
作,作,作,1,AAA,"サク, サ","つく·る, つく·り, 〜づく·り","くり, さか, さっ, づくり, とも, なお, はぎ, まさか","make, production, prepare, build","作る (つくる): to make, to produce, to manufacture, to build, to construct<br>作文 (さくぶん): writing (an essay, prose, etc.), composition<br>作業 (さぎょう): work, operation, manufacturing, fatigue duty<br>作品 (さくひん): work (e.g. book, film, composition, etc.), opus, performance, production<br>作家 (さっか): author, writer, novelist, artist",2,103
佳,佳,佳,1,AAA,カ,,"けい, よし","excellent, beautiful, good, pleasing, skilled",,8,1643
併,併,併,1,AAA,ヘイ,あわ·せる,,"join, get together, unite, collective","合わせる (あわせる): to match (rhythm, speed, etc.)<br>合併 (がっぺい): merger (of companies, towns, etc.), combination, union, amalgamation, consolidation, coalition, fusion, annexation, affiliation, incorporation",8,966
使,使,使,1,AAA,シ,"つか·う, つか·い, 〜つか·い, 〜づか·い",,"use, send on a mission, order, messenger, envoy, ambassador, cause","使う (つかう): to use (a thing, method, etc.), to make use of, to put to use<br>大使館 (たいしかん): embassy<br>使用 (しよう): use, application, employment, utilization, utilisation<br>大使 (たいし): ambassador<br>使い (つかい): errand, mission, going as envoy",3,219
例,例,例,1,AAA,レイ,たと·える,,"example, custom, usage, precedent","例えば (たとえば): for example, for instance, e.g.<br>例 (れい): custom, practice, habit, usual<br>例え (たとえ): example<br>例外 (れいがい): exception<br>実例 (じつれい): example, illustration, precedent",4,399
侍,侍,侍,1,AAA,"ジ, シ","さむらい, はべ·る",かみ,"waiter, samurai, wait upon, serve","侍 (さむらい): warrior (esp. of military retainers of daimyos in the Edo period), samurai",8,1939
供,供,供,1,AAA,"キョウ, ク, クウ, グ","そな·える, とも, 〜ども",,"submit, offer, present, serve (meal), accompany","子供 (こども): child<br>供給 (きょうきゅう): supply, provision<br>提供 (ていきょう): offer, tender, providing, supplying, making available, donating (blood, organs, etc.)<br>供 (とも): companion, follower, attendant, retinue",6,313
依,依,依,1,AAA,"イ, エ",よ·る,"よ, より","reliant, depend on, consequently, therefore, due to","依頼 (いらい): request, commission, entrusting (with a matter)<br>依然 (いぜん): still, as yet, as it has been<br>依存 (いぞん): dependence, reliance",8,906
価,價,价,5,ABC,"カ, ケ",あたい,,"value, price","価格 (かかく): price, value, cost<br>評価 (ひょうか): valuation, appraisal, evaluation, assessment, estimation, rating, judging<br>価値 (かち): value, worth, merit<br>物価 (ぶっか): prices of commodities, prices (in general), cost-of-living<br>高価 (こうか): highly priced, expensive, valuable, costly",5,250
侮,侮,侮,1,AAA,ブ,"あなど·る, あなず·る",,"scorn, despise, make light of, contempt","侮辱 (ぶじょく): insult, affront, slight, contempt (e.g. of court)",8,2004
侯,侯,侯,1,AAA,コウ,,,"marquis, lord, daimyo",,8,2363
侵,侵,侵,1,AAA,シン,おか·す,,"encroach, invade, raid, trespass, violate","侵入 (しんにゅう): invasion, incursion, raid, aggression, intrusion, trespass, penetration<br>侵略 (しんりゃく): aggression, invasion, raid<br>侵す (おかす): to invade, to raid, to violate (airspace, etc.), to intrude, to trespass",8,1025
便,便,便,1,AAA,"ベン, ビン",たよ·り,,"convenience, facility, excrement, feces, letter, chance","便利 (べんり): convenient, handy, useful<br>郵便局 (ゆうびんきょく): post office<br>不便 (ふべん): inconvenience, inexpediency, unhandiness<br>郵便 (ゆうびん): mail service, postal service, mail, post<br>便 (びん): flight (e.g. airline flight), trip (e.g. train trip), service",4,729
係,係,系,2,AAB,ケイ,"かか·る, かかり, 〜がかり, かか·わる",,"person in charge, connection, duty, concern oneself","関係 (かんけい): relation, relationship, connection<br>係 (かかり): charge, duty, person in charge, official, clerk",3,232
促,促,促,1,AAA,ソク,うなが·す,,"stimulate, urge, press, demand, incite","催促 (さいそく): pressing, urging, demanding, demand<br>促進 (そくしん): promotion, acceleration, encouragement, facilitation, spurring on<br>促す (うながす): to urge, to encourage, to press, to prompt, to draw (attention to)",8,998
俊,俊,俊,1,AAA,シュン,,"すぐる, とし","sagacious, genius, excellence",,8,1007
俗,俗,俗,1,AAA,ゾク,,,"vulgar, customs, manners, worldliness, mundane things","風俗 (ふうぞく): manners, customs",8,1610
保,保,保,1,AAA,"ホ, ホウ",たも·つ,"う, お, ぶ, もり, やす, やすし","protect, guarantee, keep, preserve, sustain, support","保証 (ほしょう): guarantee, security, assurance, pledge, warranty<br>保存 (ほぞん): preservation, conservation, storage, maintenance<br>保健 (ほけん): preservation of health, hygiene, sanitation<br>保護 (ほご): protection, safeguard, guardianship, custody, patronage<br>保守 (ほしゅ): maintenance",5,146
信,信,信,1,AAA,シン,,"し, しが, しな, しの, しぶ, とき, のび, のぶ, まこと","faith, truth, fidelity, trust","通信 (つうしん): correspondence, communication, transmission, news, signal, telecommunications<br>信用 (しんよう): confidence, trust, faith, reputation<br>信頼 (しんらい): reliance, trust, faith, confidence<br>信号 (しんごう): signal, signalling, signaling<br>信仰 (しんこう): (religious) faith, belief, creed",4,208
